product_id,product_name,category,price,mrp,margin_percentage
153019,Onions,Fruits & Vegetables,947.95,1263.93,25
11422,Potatoes,Fruits & Vegetables,127.16,169.55,25
669378,Potatoes,Fruits & Vegetables,212.14,282.85,25
848226,Tomatoes,Fruits & Vegetables,209.59,279.45,25
890623,Onions,Fruits & Vegetables,354.52,472.69,25
965755,Bananas,Fruits & Vegetables,532.57,710.09,25
222892,Tomatoes,Fruits & Vegetables,869.22,1158.96,25
516376,Onions,Fruits & Vegetables,877.43,1169.91,25
39154,Mangoes,Fruits & Vegetables,946.86,1262.48,25
34186,Mangoes,Fruits & Vegetables,925.65,1234.2,25
196719,Bananas,Fruits & Vegetables,217.5,290,25
478531,Carrots,Fruits & Vegetables,825.46,1100.61,25
812607,Potatoes,Fruits & Vegetables,416.65,555.53,25
818990,Tomatoes,Fruits & Vegetables,163.55,218.07,25
14145,Spinach,Fruits & Vegetables,630.84,841.12,25
349294,Onions,Fruits & Vegetables,934.75,1246.33,25
847349,Potatoes,Fruits & Vegetables,781.08,1041.44,25
871592,Carrots,Fruits & Vegetables,870.29,1160.39,25
284460,Potatoes,Fruits & Vegetables,505.95,674.6,25
473929,Carrots,Fruits & Vegetables,440.19,586.92,25
77308,Onions,Fruits & Vegetables,223.27,297.69,25
654297,Potatoes,Fruits & Vegetables,13.25,17.67,25
70969,Carrots,Fruits & Vegetables,631.7,842.27,25
552883,Potatoes,Fruits & Vegetables,888.16,1184.21,25
952124,Onions,Fruits & Vegetables,127.08,169.44,25
397973,Bananas,Fruits & Vegetables,728.73,971.64,25
555121,Carrots,Fruits & Vegetables,354.91,473.21,25
818522,Cheese,Dairy & Breakfast,96.09,120.11,20
462526,Curd,Dairy & Breakfast,449.97,562.46,20
376447,Butter,Dairy & Breakfast,724.84,906.05,20
217710,Eggs,Dairy & Breakfast,58.59,73.24,20
146840,Bread,Dairy & Breakfast,786.85,983.56,20
89084,Milk,Dairy & Breakfast,598.83,748.54,20
